frame,timestamp,angle_delta,snap_count,lock_count,flag
0,1746359994.5699518,0.0,0,0,False
1,1746359996.3289511,0.0,0,0,False
2,1746359996.433952,0.0,0,0,False
3,1746359996.5389533,0.0,0,0,False
4,1746359996.6429508,0.0,0,0,False
5,1746359996.7469513,0.0,0,0,False
6,1746359996.8549507,0.0,0,0,False
7,1746359996.9549525,0.0,0,0,False
8,1746359997.0629513,0.0,0,0,False
9,1746359997.1789522,0.0,0,0,False
10,1746359997.2919526,0.0,0,0,False
11,1746359997.4119513,0.0,0,0,False
12,1746359997.5259502,0.0,0,0,False
13,1746359997.6439512,0.0,0,0,False
14,1746359997.7529514,0.0,0,0,False
15,1746359997.8629498,0.0,0,0,False
16,1746359997.960951,0.0,0,0,False
17,1746359998.0629508,0.0,0,0,False
18,1746359998.16395,0.0,0,0,False
19,1746359998.2609508,0.0,0,0,False
20,1746359998.3619506,0.0,0,0,False
21,1746359998.4609525,0.0,0,0,False
22,1746359998.5609505,0.0,0,0,False
23,1746359998.661951,0.0,0,0,False
24,1746359998.759951,0.0,0,0,False
25,1746359998.8719516,0.0,0,0,False
26,1746359998.9809513,0.0,0,0,False
27,1746359999.0919516,0.0,0,0,False
28,1746359999.2099514,0.0,0,0,False
29,1746359999.330951,0.0,0,0,False
30,1746359999.474953,0.0,0,0,False
31,1746359999.605953,0.0,0,0,False
32,1746359999.7379513,0.0,0,0,False
33,1746359999.8619506,0.0,0,0,False
34,1746359999.9719532,0.0,0,0,False
35,1746360000.0999537,0.0,0,0,False
36,1746360000.2079506,0.0,0,0,False
37,1746360000.31195,0.0,0,0,False
38,1746360000.475952,0.0,0,0,False
39,1746360000.6229522,0.0,0,0,False
40,1746360000.7389517,0.0,0,0,False
41,1746360000.851952,0.0,0,0,False
42,1746360000.9569504,0.0,0,0,False
43,1746360001.060952,0.0,0,0,False
44,1746360001.1719534,0.0,0,0,False
45,1746360001.2739506,0.0,0,0,False
46,1746360001.3739507,0.0,0,0,False
47,1746360001.4689524,0.0,0,0,False
48,1746360001.573951,0.0,0,0,False
49,1746360001.670951,0.0,0,0,False
50,1746360001.7789521,0.0,0,0,False
51,1746360001.8809507,0.0,0,0,False
52,1746360001.983954,0.0,0,0,False
53,1746360002.0849504,0.0,0,0,False
54,1746360002.181952,0.0,0,0,False
55,1746360002.2799516,0.0,0,0,False
56,1746360002.37995,0.0,0,0,False
57,1746360002.48095,0.0,0,0,False
58,1746360002.579995,0.0,0,0,False
59,1746360002.678995,0.0,0,0,False
60,1746360002.7799962,0.0,0,0,False
61,1746360002.8799953,0.0,0,0,False
62,1746360002.9809957,0.0,0,0,False
63,1746360003.0789971,0.0,0,0,False
64,1746360003.180996,0.0,0,0,False
65,1746360003.2769964,0.0,0,0,False
66,1746360003.372995,0.0,0,0,False
67,1746360003.473995,0.0,0,0,False
68,1746360003.5729954,0.0,0,0,False
69,1746360003.6729944,0.0,0,0,False
70,1746360003.7669952,0.0,0,0,False
71,1746360003.8609955,0.0,0,0,False
72,1746360003.9599957,0.0,0,0,False
73,1746360004.054995,0.0,0,0,False
74,1746360004.1519957,0.0,0,0,False
75,1746360004.2509954,0.0,0,0,False
76,1746360004.3519967,0.0,0,0,False
77,1746360004.4539948,0.0,0,0,False
78,1746360004.557995,0.0,0,0,False
79,1746360004.6559963,0.0,0,0,False
80,1746360004.7579958,0.0,0,0,False
81,1746360004.8619957,0.0,0,0,False
82,1746360004.9709964,0.0,0,0,False
83,1746360005.0679965,0.0,0,0,False
84,1746360005.1619945,0.0,0,0,False
85,1746360005.2609954,0.0,0,0,False
86,1746360005.3589945,0.0,0,0,False
87,1746360005.4529965,0.0,0,0,False
88,1746360005.5485125,0.0,0,0,False
89,1746360005.6480367,0.0,0,0,False
90,1746360005.7420342,0.0,0,0,False
91,1746360005.8400345,0.0,0,0,False
92,1746360005.9400356,0.0,0,0,False
93,1746360006.0360355,0.0,0,0,False
94,1746360006.1380343,0.0,0,0,False
95,1746360006.238035,0.0,0,0,False
96,1746360006.3400364,0.0,0,0,False
97,1746360006.4380364,0.0,0,0,False
98,1746360006.5420349,0.0,0,0,False
99,1746360006.639035,0.0,0,0,False
100,1746360006.7410347,0.0,0,0,False
